epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,24.0145,0.33053,0.99286,1,0.03786,0.000469624,0.000469624,0.000469624
2,36.3357,0.01452,1,1,0.00212,0.000852308,0.000852308,0.000852308
3,48.8817,0.0303,0.98571,1,0.02068,0.00114068,0.00114068,0.00114068
4,60.7784,0.02756,0.96429,1,0.13182,0.00100459,0.00100459,0.00100459
5,73.1912,0.01877,1,1,0.00041,0.000863116,0.000863116,0.000863116
6,86.5281,0.01085,1,1,0.00066,0.000721645,0.000721645,0.000721645
7,99.1,0.01876,1,1,0.00154,0.000580174,0.000580174,0.000580174
8,113.199,0.01281,0.99286,1,0.01542,0.000438703,0.000438703,0.000438703
9,124.506,0.00631,1,1,8e-05,0.000297232,0.000297232,0.000297232
10,136.739,0.0042,1,1,8e-05,0.000155761,0.000155761,0.000155761
